# time,tag,mass,x,y,z,vx,vy,vz,ax,ay,az
# s,,kg,m,m,m,m/s,m/s,m/s,m/s^2,m/s^2,m/s^2

0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.374846889290291418e-01,9.659946136732628919e-01,6.535791673648367883e-01,6.143557279822922101e-01,7.360451832581105247e-02,5.595359273839881631e-01,8.769230599794654024e-01,8.643511022432245339e-01,9.293367885050898280e-01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,4.201776078989477581e-01,8.418789864825200198e-01,6.804992608961712985e-01,2.989392824497886236e-01,4.427205349102125709e-02,2.301163222998896529e-01,9.159048995901928336e-01,4.773046494997353895e-01,5.209583083522520974e-01
0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.213898924929482925e-01,7.000367660256023861e-03,9.585190095333300242e-01,1.979094511613109786e-01,7.047811810973033664e-01,9.794177360856098913e-01,5.285199696333309216e-02,8.734920223675144424e-01,6.406443577620570817e-01
0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,4.297409965941265675e-01,5.623870854646635387e-01,2.745887863637597182e-01,3.285983497247101370e-01,8.883858648065761088e-01,2.859080256755019978e-02,3.547354052995765894e-01,3.997977420897335099e-01,2.854603331788225784e-01
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,8.315583771795727053e-01,6.470136123339669254e-01,1.798282927502710127e-01,9.926073510149113766e-02,7.179643945770453062e-01,9.938152266609155960e-01,6.672637338382417793e-01,8.463581005213852704e-01,1.872206224307054745e-01
0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,4.761877746428166969e-01,7.240031288138191190e-01,5.480930565254850118e-01,4.058254888945522776e-02,1.442719221441494115e-01,4.748796269950719129e-01,8.032983782882104906e-01,8.363940503623047418e-01,1.495372236728955695e-01
0.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,3.164605389865275953e-01,1.484460097291555591e-01,1.994332098367973538e-01,2.582178335273496161e-01,4.023175262529169460e-01,7.503388904188745823e-02,5.590560526417257536e-01,2.173801049498711446e-01,1.474401041896087339e-01
0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,6.998980918654619243e-01,5.309602109685198634e-01,2.220713776510258031e-01,5.794726940043004593e-02,1.744740546574516937e-01,2.768416638114690187e-01,5.582658986549604574e-01,6.813864318635194373e-01,4.396173085825664240e-01
0.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,5.326854002005924071e-01,1.113836140822069831e-01,5.684101557561178630e-01,7.625266037407509856e-01,9.607397311215862823e-01,3.991530973614088040e-02,7.751779521856649868e-02,8.088840391284838338e-01,6.067124417035234529e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,3.828227009544279413e-01,7.410937960883557940e-01,6.972934669641905892e-01,9.210244777922819148e-01,5.443220460011896078e-01,5.057473010339533781e-01,8.445123695577995138e-01,5.849420925611166222e-01,9.982249660380101419e-01
0.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.277987391826629349e-02,5.418325126595013863e-01,7.720017595112077524e-01,4.064811338645705208e-01,1.182353174170408527e-01,8.648559376777309460e-02,5.485686682691592875e-01,7.521036277557311411e-01,2.929679234884319250e-02
0.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00,9.739339993162372533e-01,6.462848157658895865e-02,4.336866385695470338e-01,5.612939558843197396e-01,7.046865422562801351e-01,6.826753251167104741e-01,2.039141703674610673e-01,2.322469707731585897e-01,6.278059478471686994e-02
0.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+00,3.071864436994580227e-01,3.132100726375656174e-01,6.093791510241686193e-02,6.799521887162148781e-01,6.323283504325633020e-01,3.057351630067204340e-01,9.590645727513252838e-01,6.707379736988942076e-01,6.696698033410480866e-01
0.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+00,1.426928092903134715e-02,8.625311439071148278e-01,6.734606577893631485e-02,9.426307755599270255e-01,7.383535998643357967e-01,5.546015979225848991e-02,8.518473631045883065e-01,9.576969236051373624e-01,1.507388385041474876e-02
0.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000000e+00,9.998588492700821728e-01,6.528980522950420529e-01,3.096905267201979228e-01,9.737090818640535828e-01,6.693213444531630474e-01,2.742912856154607892e-01,4.979622387001285677e-01,8.981213820210696142e-01,9.580489077176551627e-01
0.000000000000000000e+00,1.600000000000000000e+01,1.000000000000000000e+00,3.294602497540800590e-01,7.356968450053276154e-01,6.299137526379463559e-01,5.175504288419671139e-01,2.651290336609314346e-01,4.238115298195959113e-01,2.557335612693566462e-01,4.383308522855836609e-01,8.258632554763688516e-01
0.000000000000000000e+00,1.700000000000000000e+01,1.000000000000000000e+00,4.073635144575136202e-01,6.584613025404462139e-02,5.206989075440342507e-01,2.884744718349335768e-01,8.934300895655827857e-01,8.190476615419104434e-01,4.820864188938149830e-01,3.360586898919022403e-01,5.022752438364253003e-03
0.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000000e+00,2.971076932736625986e-01,3.826001381397962087e-01,4.441566729606867270e-01,8.335088286065849283e-01,5.937701515561171206e-01,5.527224464345854571e-01,7.696957543442656258e-01,7.223695472941976670e-01,7.441791406880780002e-01
0.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,5.497654085290769599e-01,5.286975199379426726e-01,2.956617636366948298e-01,5.529788856126713892e-01,5.460315433711202537e-01,8.640309078582373292e-01,9.741945936700724396e-01,6.516275489632092910e-01,1.391624214758979683e-01
0.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+00,4.214206808991680653e-01,5.238353202038026346e-01,1.969023019973823452e-01,8.609312149523864477e-01,7.587896885320815077e-01,3.606295207302574468e-01,3.940399705238873951e-01,9.374167549042894398e-01,9.903099547960865223e-01
0.000000000000000000e+00,2.100000000000000000e+01,1.000000000000000000e+00,7.606391458816561535e-01,7.241260876765337473e-01,3.381697475896362493e-01,7.000004362034315530e-01,7.885900903105819149e-01,4.522612527912173164e-01,9.007765468062336467e-01,6.842350157795150656e-01,5.705248292264684107e-01
0.000000000000000000e+00,2.200000000000000000e+01,1.000000000000000000e+00,1.036193238486298185e-01,2.120978727436401146e-01,8.098884705660351901e-01,2.466268142156594623e-01,1.724475621755544585e-01,4.101939889473020795e-01,1.066549500920784821e-01,4.578004600207720154e-01,7.947044747241596152e-01
0.000000000000000000e+00,2.300000000000000000e+01,1.000000000000000000e+00,8.194757874915723495e-01,3.925536427301377085e-01,7.988580064726769070e-01,2.811359856768002041e-01,9.563428284878483510e-01,1.174986681903749108e-01,3.963143557902449876e-01,5.107622494494745702e-02,1.680948014245897681e-01
0.000000000000000000e+00,2.400000000000000000e+01,1.000000000000000000e+00,3.272301355832362146e-01,2.998147451124574259e-01,3.866299344893687762e-01,8.044693703174702337e-01,2.019123057966719648e-01,4.967418981172802006e-01,5.534286587412429181e-01,4.842124775261018588e-01,7.756442903201015149e-01
0.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.132470205826784593e-01,1.267867494790069216e-01,5.544372631399319129e-01,7.119211770074989065e-01,6.344190915194535263e-01,5.618103351479859509e-01,2.766667885542712924e-01,7.852063114576034453e-01,6.046424767629012820e-01
0.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.391507093728489464e-01,7.366264523421974797e-01,8.807057447000379291e-01,6.821203284205095141e-01,3.732492257069328634e-01,6.094225504095311940e-01,1.367915145575935298e-01,9.560845519533922587e-01,9.228457527122382320e-01
0.000000000000000000e+00,2.700000000000000000e+01,1.000000000000000000e+00,3.210153435214424533e-01,8.175286286864531515e-01,6.687724662630957218e-01,8.087449764449636813e-01,5.325548547895324614e-01,6.888356197934109026e-02,7.321737570533529693e-01,8.362562713701917616e-01,4.778826094354553522e-01
0.000000000000000000e+00,2.800000000000000000e+01,1.000000000000000000e+00,3.111195871371463806e-02,9.441778276459362740e-01,6.451246402780075329e-01,3.975358044852972395e-01,2.913892126562661611e-01,1.342180932295325979e-01,5.802629384249538003e-01,1.478685958404980516e-01,1.823173265536145449e-01
0.000000000000000000e+00,2.900000000000000000e+01,1.000000000000000000e+00,4.057567823658978501e-01,6.558628714813272698e-01,4.023723682293200987e-03,2.691558342822509831e-01,6.069814273319114051e-01,3.926890383789980454e-01,6.595469218425702440e-01,4.054241814275633127e-01,4.346886479227063393e-02
0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,1.912417989627360759e-01,1.578664477529146959e-01,3.845714894533197592e-01,3.826371071064735840e-01,2.035641494354611947e-02,3.726252304861472631e-01,3.727146706256757591e-01,6.708894271421241839e-01,8.069698584936668695e-03
0.000000000000000000e+00,3.100000000000000000e+01,1.000000000000000000e+00,5.681877825329832987e-01,4.900045964226077411e-01,3.587656412188188204e-01,9.326613938122707559e-02,7.114007289747531493e-01,7.751310862318150363e-02,4.596834131887211905e-01,4.266800580918648222e-01,9.485986306462369511e-01
0.000000000000000000e+00,3.200000000000000000e+01,1.000000000000000000e+00,7.610179190316459508e-01,4.850319974520345134e-01,2.666246964649054974e-02,5.953826802748246605e-01,6.353605553822860852e-02,2.784830357413424773e-01,2.108062887145963904e-01,4.199889605593122299e-01,6.156118659504219437e-01
0.000000000000000000e+00,3.300000000000000000e+01,1.000000000000000000e+00,8.982249746354820097e-02,7.999791723384755970e-01,5.444537561711999540e-01,3.406018087048078291e-01,3.940955380258962526e-01,7.838850074112927446e-01,2.508452491089936398e-01,4.202775979902493297e-01,2.570776348303305259e-01
